,Popularity,Region,TERM,Full Form | Definition | Meaning,MainCategory,SubCategory
11402,60,India,LKG,Lower KinderGarten,Academic & Science,Daycare & Preschool
11403,30,Kenya,LKG,Lokichogio Airport,Transport & Travel,Airport Codes
11404,20,India,LKG,Lalgudi Karuppiah Gandhi,News & Entertainment,Movies & Film
11405,90,Worldwide,LLB,Legum Baccalaureus,Academic & Science,Academic Degrees
11406,40,France,LLB,Laboratoire Léon Brillouin,Academic & Science,Research & Development
11407,40,Liechtenstein,LLB,Liechtensteinische Landesbank,Business,Banking
11408,30,Australia,LLB,"Lemon, Lime and Bitters",Society & Culture,Food & Drink
11409,20,Bolivia,LLB,Lloyd Aéreo Boliviano,Transport & Travel,Airline Codes
11410,90,Worldwide,LLC,Limited Liability Company,Business,Business Terms
11411,50,Worldwide,LLC,Logical Link Control,Computing,Networking
11412,30,Australia,LLC,Lend Lease Corporation,Business,Companies & Corporations
11413,20,United,LLC,Lake Land College,Academic & Science,Universities & Institutions
11414,20,United,LLC,Laurel Leader-Call,News & Entertainment,Journals & Publications
11415,20,United,LLC,Lifetime Learning Credit,Governmental,Policies & Programs
11416,80,Worldwide,LLM,Legum Magister,Academic & Science,Academic Degrees
11417,30,Russian,LLM,Yamal Airlines,Transport & Travel,Airline Codes
11418,10,United,LLM,Lycée Louis Massignon,Academic & Science,Universities & Institutions
11419,90,Worldwide,LLP,Limited Liability Partnership,Business,Business Terms
11420,40,Worldwide,LLP,Lower-Layer Protocol,Computing,Protocols
11421,40,European,LLP,Lifelong Learning Programme,Academic & Science,Courses
11422,40,Worldwide,LLP,Leadless Leadframe Package,Academic & Science,Electronics
11423,20,United,LLP,Linguistics Language Program,Academic & Science,Courses
11424,40,Worldwide,LMAO,Laughing My A** Off,Miscellaneous,Chat & Messaging
11425,50,Worldwide,LMGTFY,Let Me Google That For You,Computing,Internet
11426,40,Worldwide,LML,Lightweight Markup Language,Computing,Programming & Development
11427,20,Worldwide,LML,Lifecycle Modeling Language,Computing,Programming & Development
11428,20,Worldwide,LML,Lazy ML,Computing,Programming Languages
11429,20,Marshall,LML,Lae Airport,Transport & Travel,Airport Codes
11430,10,India,LML,Lohia Machines Limited,Business,Companies & Corporations
11431,20,Worldwide,LMV,Lettuce Mosaic Virus,Trees & Plants,Pathogens & Diseases
11432,10,India,LMV,Light Motor Vehicle,Governmental,Documents & Certificates
11433,10,India,LMV-NT,Light Motor Vehicle - Non Transport,Governmental,Documents & Certificates
11434,10,India,LMV-TR,Light Motor Vehicle - Transport,Governmental,Documents & Certificates
11435,80,Worldwide,LNB,Low Noise Block-downconverter,Academic & Science,Electronics
11436,30,Vanuatu,LNB,Lamen Bay Airport,Transport & Travel,Airport Codes
11437,10,United,LNB,Laredo National Bank,Business,Banking
11438,10,United,LNB,Lubbock National Bank,Business,Banking
11439,20,Worldwide,LNBF,Low Noise Block-downconverter Feedhorn,Academic & Science,Electronics
11440,10,Canada,LNBF,Leave Nothing But Footprints,Business,Companies & Corporations
11441,50,Worldwide,LNC,Low Noise Converter,Academic & Science,Electronics
11442,40,United,LNC,Libertarian National Committee,Governmental,Politics
11443,40,United,LNC,Lincoln National Corporation,Business,Companies & Corporations
11444,20,Worldwide,LNC,Legal Nurse Consultant,Medical,Hospitals
11445,10,Papua,LNC,Lengbati Airport,Transport & Travel,Airport Codes
11446,50,Worldwide,LNG,Liquefied Natural Gas,Technology,Tech Terms
11447,20,Papua,LNG,Lese Airport,Transport & Travel,Airport Codes
11448,50,Worldwide,LNT,Leave No Trace,Associations & Organizations,Environment & Nature Organizations
11449,30,India,LnT,Larsen and Toubro,Business,Companies & Corporations
11450,20,Worldwide,LNT,Linear no-threshold,Academic & Science,Research & Development
11451,90,Worldwide,LOA,Length Overall,Transport & Travel,Water Transport
11452,80,Worldwide,LoA,Law of Attraction,Society & Culture,Religion & Spirituality
11453,60,Worldwide,LOA,Letter of Authorization,Governmental,Law & Legal
11454,60,Worldwide,LOA,Leave Of Absence,Business,Business Terms
11455,60,Worldwide,LoA,Limits of Agreement,Academic & Science,Mathematics
11456,40,Worldwide,LoA,Letter of Authority,Governmental,Law & Legal
11457,40,United,LOA,Life of Agony,Arts,Musical groups
11458,40,Worldwide,LOA,Love On Arrival,Arts,Music
11459,40,Worldwide,LOA,Level Of Assurance,Business,Business Terms
11460,40,Worldwide,LOA,Letter Of Agency,Technology,Communication
11461,40,United,LOA,Library of America,Business,Companies & Corporations
11462,40,Worldwide,LoA,Lines of Action,Sports & Games,Board Games
11463,40,Worldwide,LOA,Left Occiput Anterior,Medical,Healthcare
11464,30,Worldwide,LOA,Letter of Assist,Governmental,Documents & Certificates
11465,20,Worldwide,LOA,Library Oriented Architecture,Computing,Programming & Development
11466,10,United,LOA,Lake Oconee Academy,Academic & Science,Universities & Institutions
11467,100,Worldwide,Loc,Location,Academic & Science,Language & Linguistics
11468,90,United,LOC,Library of Congress,Regional,Buildings & Landmarks
11469,80,Worldwide,LOC,Lines Of Code,Computing,Programming & Development
11470,70,India,LoC,Line of Control,Governmental,Military
11471,60,Worldwide,LOC,Line Of Credit,Business,Banking
11472,50,Worldwide,LOC,Letter Of Credit,Business,Finance
11473,40,Worldwide,LOC,Lab-on-a-Chip,Technology,Instruments & Devices
11474,40,India,LOC,Look-Out Circular,Governmental,Law & Legal
11475,40,Worldwide,LOC,Liquid Organic Cleaner,Business,Products
11476,10,Worldwide,LOC,Locus of Control,Medical,Psychiatry & Mental Health
11477,40,Worldwide,"cit"">",loco citato,Academic & Science,Language & Linguistics
11478,90,Worldwide,LOE,Level of Effort,Business,Business Terms
11479,80,Spain,LOE,Ley Orgánica de Educación,Governmental,Law & Legal
11480,50,Worldwide,LOE,Level of Evidence,Medical,Laboratory
11481,40,Worldwide,LOE,Letter of Engagement,Business,Business Terms
11482,40,United,LOE,Living on Earth,News & Entertainment,TV & Radio
11483,30,Worldwide,LoE,Legends of Equestria,Computing,Games & Entertainment
11484,30,Canada,LoE,Lesbians on Ecstasy,Arts,Musical groups
11485,20,Thailand,LOE,Loei Airport,Transport & Travel,Airport Codes
11486,100,Worldwide,Logitech,"from logiciel, the French word for Software",Business,Companies & Corporations
11487,90,Worldwide,LOL,Laughing Out Loud,Miscellaneous,Chat & Messaging
11488,80,Worldwide,LoL,League of Legends,Computing,Games & Entertainment
11489,80,Worldwide,LOL,Lots Of Love,Miscellaneous,Chat & Messaging
11490,10,Worldwide,LOLWKASF,Laughing out Loud While Keeping A Straight Face,Miscellaneous,Chat & Messaging
11491,70,Worldwide,LOM,Lights-out Management,Computing,Networking
11492,10,Worldwide,LOM,Locator Outer Marker,Technology,Airplanes & Aircraft
11493,50,Worldwide,LOP,Loss of Pay,Business,Business Terms
11494,40,Worldwide,LOP,Letter of Permission,Academic & Science,Universities & Institutions
11495,40,Worldwide,LOP,Line Of Position,Technology,Tech Terms
11496,40,Worldwide,LORAN,LOng RAnge Navigation,Technology,Tech Terms
11497,50,Worldwide,LOU,Letter Of Undertaking,Governmental,Law & Legal
11498,40,United,LOU,Bowman Field,Transport & Travel,Airport Codes
11499,40,France,LOU,Lyon Olympique Universitaire,Sports & Games,Outdoor & Adventure
11500,100,Worldwide,Love,noun: an intense feeling of deep affection towards a person,Academic & Science,Language & Linguistics
11501,30,Canada,LOVE,Let Older Volunteers Educate,Academic & Science,Daycare & Preschool
11502,70,Worldwide,LPA,Lysophosphatidic Acid,Medical,Biochemistry
11503,60,United,LPA,Local Planning Authority,Governmental,Departments & Agencies
11504,60,Spain,LPA,Gran Canaria Airport,Transport & Travel,Airport Codes
11505,50,Worldwide,LPa,Lipoprotein(a),Medical,Biochemistry
11506,50,Worldwide,LPA,Locally Preferred Alternative,Transport & Travel,Land Transport
11507,40,India,LPA,Lakhs Per Annum,Business,Business Terms
11508,40,United,LPA,Little People of America,Associations & Organizations,Regional Organizations
11509,40,Australia,LPA,Liberal Party of Australia,Governmental,Politics
11510,40,United,LPA,Lasting Power of Attorney,Governmental,Law & Legal
11511,40,Worldwide,LPA,Left Pulmonary Artery,Medical,Anatomy & Physiology
11512,20,United,LPA,Lincoln Park Academy,Academic & Science,Universities & Institutions
11513,20,United,LPA,Logic Programming Associates,Business,Companies & Corporations
11514,20,United,LPA,London Psychogeographical Association,Associations & Organizations,Regional Organizations
11515,10,United,LPA,Libertarian Party of Alabama,Governmental,Politics
11516,40,Worldwide,LPDDR,Low-Power Double-Data-Rate,Computing,Hardware
11517,70,Worldwide,LPF,Low Pass Filter,Academic & Science,Electronics
11518,40,Netherlands,LPF,Lijst Pim Fortuyn,Governmental,Politics
11519,30,United,LPF,League for Programming Freedom,Associations & Organizations,Regional Organizations
11520,10,United,LPF,Lutheran Peace Fellowship,Associations & Organizations,Regional Organizations
11521,90,Worldwide,LPG,Liquefied Petroleum Gas,Business,Products
11522,40,Germany,LPG,Landwirtschaftliche Produktionsgenossenschaft,Trees & Plants,Farming & Agriculture
11523,40,Worldwide,LPG,Lipophosphoglycan,Medical,Biochemistry
11524,40,United,LPG,Llanfairpwll,Transport & Travel,Railway Station Codes
11525,40,Worldwide,LPG,"Liberalisation, Privatisation and Globalisation",Governmental,Policies & Programs
11526,10,French,LPG,Lycée Paul-Gauguin,Academic & Science,Universities & Institutions
11527,10,Gibraltar,LPG,Liberal Party of Gibraltar,Governmental,Politics
11528,10,Sweden,LPG,La Perdita Generacio,Arts,Musical groups
11529,10,South,LPG,Lovely Pretty Girls,Arts,Musical groups
11530,60,Worldwide,LPT,Line Printer Terminal,Computing,Hardware
11531,80,India,LPU,Lovely Professional University,Academic & Science,Universities & Institutions
11532,40,Philippines,LPU,Lyceum of the Philippines University,Academic & Science,Universities & Institutions
11533,40,Worldwide,LPU,Linkin Park Underground,Associations & Organizations,Fan Clubs
11534,30,Worldwide,LPU,Least Publishable Unit,News & Entertainment,Journals & Publications
11535,30,Worldwide,LPU,Local Processing Unit,Academic & Science,Electronics
11536,20,Indonesia,LPU,Long Apung Airport,Transport & Travel,Airport Codes
11537,100,Worldwide,ls,list,Computing,Commands
11538,90,Lesotho,LS,Lesotho,Regional,Countries
11539,80,Worldwide,LS,Least Squares,Academic & Science,Mathematics
11540,80,Worldwide,LS,Long Sleeve,Society & Culture,Fashion & Lifestyle
11541,60,United,LS,Leeds,Regional,Postal Codes
11542,50,United,LS,Jet2,Transport & Travel,Airline Codes
11543,50,Worldwide,LS,Lichen Sclerosus,Medical,Diseases & Conditions
11544,50,Lesotho,ls,Lesotho,Computing,Domain Names (TLD)
11545,40,India,LS,Lok Sabha,Governmental,Politics
11546,40,Worldwide,LS,Locus Sigilli,Governmental,Law & Legal
11547,40,Worldwide,LS,Lung Surfactant,Medical,Biochemistry
11548,40,Worldwide,LS,Leading Seaman,Governmental,Military
11549,40,United,LS,Logistics Specialist,Governmental,Military
11550,40,Worldwide,LS,Long Snapper,Sports & Games,Football
11551,40,Worldwide,LS,Limit Switch,Academic & Science,Electrical
11552,30,Worldwide,LS,Lectori Salutem,Academic & Science,Language & Linguistics
11553,30,Croatia,LS,Liberalna Stranka,Governmental,Politics
11554,30,Worldwide,LS,light-second,Academic & Science,Units
11555,20,Worldwide,LS,Lost Souls,Computing,Games & Entertainment
11556,20,Worldwide,LS,Local Supercluster,Academic & Science,Astronomy & Space Science
11557,60,Worldwide,LSAT,Law School Admission Test,Academic & Science,Exams & Tests
11558,20,Worldwide,LSAT,Linux Security Auditing Tool,Computing,Security
11559,40,Worldwide,LSD,Limited Slip Differential,Technology,Automotive
11560,40,United,LSD,Lake Shore Drive,Transport & Travel,Land Transport
11561,30,Worldwide,LSD,Least Significant Digit,Academic & Science,Mathematics
11562,20,Worldwide,LSD,Lysergic acid diethylamide,Academic & Science,Chemistry
11563,10,Worldwide,LSD,Lumpy Skin Disease,Animal Kingdom,Pets & Domesticated
11564,90,United,LSE,London Stock Exchange,Business,Stock Market
11565,70,United,LSE,London School of Economics and Political Science,Academic & Science,Universities & Institutions
11566,30,Worldwide,LSE,Language-Sensitive Editor,Computing,Software & Applications
11567,30,Pakistan,LSE,Lahore Stock Exchange,Business,Stock Market
11568,30,United,LSE,La Crosse Regional Airport,Transport & Travel,Airport Codes
11569,20,United,LSE,Lincoln Southeast High School,Academic & Science,Universities & Institutions
11570,20,Pakistan,LSE,Lahore School of Economics,Academic & Science,Universities & Institutions
11571,40,India,LSGD,Local Self Government Department,Governmental,Departments & Agencies
11572,30,India,LSGD,Local Self-Government Diploma,Academic & Science,Universities & Institutions
11573,70,Worldwide,LSI,Latent Semantic Indexing,Computing,General Computing
11574,60,Worldwide,LSI,Large-Scale Integration,Academic & Science,Electronics
11575,60,Indonesia,LSI,Lingkaran Survei Indonesia,Business,Companies & Corporations
11576,50,United,LSI,Sumburgh Airport,Transport & Travel,Airport Codes
11577,50,Worldwide,LSI,Love Sex Intelligence,Arts,Music
11578,40,Worldwide,LSI,Labour and Socialist International,Associations & Organizations,International Orgaizations
11579,40,Albania,LSI,Lëvizja Socialiste për Integrim,Governmental,Politics
11580,40,Worldwide,LSI,Langelier Saturation Index,Academic & Science,Chemistry
11581,40,Worldwide,LSI,"Landing Ship, Infantry",Governmental,Military
11582,30,United,LSI,Lynch Syndrome International,Associations & Organizations,Medical Organizations
11583,30,United,LSI,Lake Superior and Ishpeming Railroad,Transport & Travel,Rail Transport
11584,30,India,LSI,Linguistic Survey of India,Governmental,Census & Statistics
11585,20,United,LSI,Lear Siegler Incorporated,Business,Companies & Corporations
11586,10,Worldwide,LSI,Long-String Instrument,Arts,Musical Instruments
11587,10,United,LSI,La Salle Institute,Academic & Science,Universities & Institutions
11588,40,Worldwide,LSIMHBIWFEFMTALOL,Laughing Silently In My Head Because It Wasn't Funny Enough For Me To Actually Laugh Out Loud,Miscellaneous,Chat & Messaging
11589,30,India,LSTV,Lok Sabha Television,News & Entertainment,TV & Radio
11590,20,Worldwide,LSTV,LumboSacral Transitional Vertebrae,Medical,Diseases & Conditions
11591,10,United,LSTV,Leeds Student Television,News & Entertainment,TV & Radio
11592,80,Lithuania,LT,Lithuania,Regional,Countries
11593,70,Worldwide,Lt,Lieutenant,Governmental,Military
11594,50,Worldwide,LT,Low Tension,Academic & Science,Electrical
11595,50,United,LT,Lawrence Taylor,Society & Culture,Celebrities & Famous
11596,50,Worldwide,LT,Local Time,Regional,Time Zones
11597,40,India,LT,Larsen & Toubro,Business,Stock Market
11598,40,United,LT,Linear Technology,Business,Companies & Corporations
11599,40,Lithuania,Lt,Lithuanian litas,Regional,Currencies
11600,40,Worldwide,LT,Lactate Threshold,Medical,Anatomy & Physiology
11601,40,Worldwide,LT,Laplace Transform,Academic & Science,Mathematics
11602,40,Worldwide,LT,Long Ton,Academic & Science,Units
11603,30,Lithuania,lt,Lithuania (TLD),Computing,Domain Names (TLD)
11604,30,Worldwide,LT,Lorentz Transformation,Academic & Science,Physics
11605,20,United,LT,Life Teen,Associations & Organizations,Religious Organizations
11606,20,United,LT,London Transport,Transport & Travel,Land Transport
11607,20,United,LT,Lorien Trust,Business,Companies & Corporations
11608,20,United,LT,Lucent Technologies,Business,Companies & Corporations
11609,20,Worldwide,LT,LaGrande Technology,Computing,General Computing
11610,20,India,LT,Lahavit Railway Station,Transport & Travel,IRCTC Station Codes
11611,90,Worldwide,LTC,Litecoin,Computing,General Computing
11612,80,Worldwide,LTC,Long Term Care,Medical,Healthcare
11613,30,Chad,LTC,Lai Airport,Transport & Travel,Airport Codes
11614,30,Canada,LTC,Lower Trent Conservation,Associations & Organizations,Environment & Nature Organizations
11615,20,Worldwide,LTC,Longitudinal Time Code,Technology,Communication
11616,20,United,LTC,Lakeshore Technical College,Academic & Science,Universities & Institutions
11617,20,India,LTC,Leave Travel Concession,Governmental,Policies & Programs
11618,20,Pakistan,LTC,Lahore Transport Company,Transport & Travel,Land Transport
11619,10,Worldwide,LTC,Liebherr Telescopic Compact,Technology,Tech Terms
11620,40,Worldwide,LTCG,Long Term Capital Gain,Governmental,Rules & Regulations
11621,30,Turkey,LTCG,Trabzon Airport,Transport & Travel,Airport Codes
11622,20,United,LTCG,Long Term Care Group,Business,Companies & Corporations
11623,100,Worldwide,Ltd,Limited,Business,Business Terms
11624,30,Worldwide,LTD,Laser Target Designator,Technology,Tech Terms
11625,30,Worldwide,LTD,Linear Transformer Driver,Academic & Science,Electrical
11626,30,United,LTD,Lane Transit District,Transport & Travel,Land Transport
11627,20,Libya,LTD,Ghadames Airport,Transport & Travel,Airport Codes
11628,20,United,LTD,"Love, Togetherness, and Devotion",News & Entertainment,Music
11629,90,Worldwide,LTE,Long Term Evolution,Technology,Communication
11630,40,Worldwide,LTE,Loss of Tail-rotor Effectiveness,Transport & Travel,Air Transport
11631,20,United,LTE,Liquid Tension Experiment,Arts,Musical groups
11632,40,Worldwide,LTPO,Low-Temperature Polycrystalline Oxide,Technology,Display & Graphics
11633,40,Worldwide,LTT,Linux Trace Toolkit,Computing,Programming & Development
11634,30,Libya,LTT,Libya Telecom & Technology,Governmental,Firms & Organizations
11635,30,Worldwide,LTT,Light Triggered Thyristor,Academic & Science,Electronics
11636,20,Worldwide,LTT,Lymphocyte Transformation Test,Medical,Tests
11637,20,Lithuania,LTT,Talonas,Regional,Currencies
11638,20,India,LTT,Lokmanya Tilak Terminus,Transport & Travel,IRCTC Station Codes
11639,100,Worldwide,LTTE,Letter To The Editor,News & Entertainment,Journals & Publications
11640,60,Sri,LTTE,Liberation Tigers of Tamil Eelam,Associations & Organizations,Regional Organizations
11641,50,India,Lucknow,"believed to be derived from Lakshman, younger brother of Lord Rama",Regional,Towns & Cities
11642,70,Pakistan,LUMS,Lahore University of Management Sciences,Academic & Science,Universities & Institutions
11643,40,United,LUMS,Lancaster University Management School,Academic & Science,Universities & Institutions
11644,40,Worldwide,LUMS,Land Use Management System,Governmental,Departments & Agencies
11645,10,United,LUMS,London Universities Mooting Shield,Associations & Organizations,Conferences & Events
11646,60,Worldwide,LUN,Logical Unit Number,Computing,Data Storage
11647,30,Worldwide,LUN,Lundin Mining Corporation,Business,Companies & Corporations
11648,20,Zambia,LUN,Kenneth Kaunda International Airport,Transport & Travel,Airport Codes
11649,40,Worldwide,LVD,Low Voltage Directive,Academic & Science,Electrical
11650,30,Worldwide,LVD,Low Voltage Differential,Computing,General Computing
11651,30,Worldwide,LVD,Low Voltage Detector,Academic & Science,Electronics
11652,30,Worldwide,LVD,Liquid Vapor Display,Technology,Display & Graphics
11653,20,Worldwide,LVD,Large Volume Detector,Academic & Science,Research & Development
11654,10,United,LVD,Lime Village Airport,Transport & Travel,Airport Codes
11655,70,Worldwide,LVMH,Louis Vuitton Moet Hennessy,Business,Companies & Corporations
11656,20,Australia,LVO,Laverton Airport,Transport & Travel,Airport Codes
11657,10,United,LVO,Long Valley Observatory,Academic & Science,Research & Development
11658,10,India,LVO,Local VAT Office,Governmental,Firms & Organizations
11659,60,Worldwide,LWB,Long Wheel Base,Technology,Automotive
11660,50,United,LWB,Greenbrier Valley Airport,Transport & Travel,Airport Codes
11661,40,Hong,LWB,Labour and Welfare Bureau,Governmental,Departments & Agencies
11662,40,Hong,LWB,Long Win Bus,Transport & Travel,Land Transport
11663,30,Worldwide,LWB,Libraries Without Borders,Associations & Organizations,Educational Organizations
11664,30,Australia,LWB,Life Without Barriers,Associations & Organizations,Regional Organizations
11665,30,Worldwide,LWB,LongWing Blucher,Society & Culture,Fashion & Lifestyle
11666,60,Worldwide,LWP,Library for WWW in Perl,Computing,Programming & Development
11667,50,Worldwide,LWP,Liquid Water Path,Academic & Science,Atmospheric Sciences
11668,40,Worldwide,LWP,Leave Without Pay,Business,Business Terms
11669,20,United,LWP,Labor and Worklife Program,Academic & Science,Universities & Institutions
11670,100,Libya,LY,Libya,Regional,Countries
11671,80,Worldwide,LY,Love You,Miscellaneous,Chat & Messaging
11672,50,Worldwide,ly,Light-Year,Academic & Science,Units
11673,40,Libya,ly,Libya (TLD),Computing,Internet
11674,30,Worldwide,LY,Last Year,Business,Finance
11675,20,Ireland,LY,Labour Youth,Governmental,Politics
11676,20,Worldwide,LY,Laughter Yoga,Medical,Treatments & Procedures
11677,100,Worldwide,m,metre,Academic & Science,Units
11678,80,Worldwide,M,Male,Business,Business Terms
11679,80,Worldwide,M,Millennium,Academic & Science,Language & Linguistics
11680,70,Worldwide,m,Minute,Academic & Science,Units
11681,70,Worldwide,M,Medium,Society & Culture,Fashion & Lifestyle
11682,70,Worldwide,m,Mass (as in E=mc^2),Academic & Science,Physics
11683,60,United,M,"Macy’s, Inc.",Business,NYSE Symbols
11684,60,Worldwide,M,1000 (Roman numeral),Academic & Science,Mathematics
11685,60,Worldwide,m,Milli,Academic & Science,Units
11686,60,Worldwide,M,Mega,Academic & Science,Units
11687,50,Worldwide,m,mobile,Computing,Websites
11688,50,Worldwide,M,Motor,Academic & Science,Electrical
11689,50,United,M,Manchester,Regional,Postal Codes
11690,50,Worldwide,M,Mature (Age 17+),Computing,Games & Entertainment
11691,50,Worldwide,M,Chief of the British Secret Service,Miscellaneous,Fictional
11692,40,Germany,M,Munich,Transport & Travel,License Plates
11693,40,Worldwide,M,Mach number,Academic & Science,Engineering
11694,40,Worldwide,M,Methionine,Academic & Science,Chemistry
11695,30,Worldwide,M,Mean anomaly,Academic & Science,Astronomy & Space Science
11696,20,United,M,Up to 81 mph,Technology,Automotive
11697,70,Worldwide,M&amp;M,Mars & Murrie,Business,Products
11698,40,India,M&amp;M,Mahindra & Mahindra,Business,Companies & Corporations
11699,70,Worldwide,M&amp;S,Marks and Spencer,Business,Companies & Corporations
11700,60,Worldwide,M&amp;S,Modeling and Simulation,Technology,Tech Terms
11701,50,Worldwide,M&amp;S,Maintenance and Support,Business,Services
11702,40,Worldwide,M&amp;S,Marketing and Sales,Business,Business Terms
11703,40,Worldwide,M&amp;S,Material and Services,Business,Accounting
11704,30,Worldwide,M-DISC,Millennial Disc,Computing,Data Storage
11705,50,Worldwide,M-Sand,Manufactured Sand,Academic & Science,Architecture & Constructions
11706,100,Worldwide,m/s,Meter per second,Academic & Science,Units
11707,80,Worldwide,M/s,Messrs,Business,Business Terms
11708,40,Worldwide,M/S,Motor Ship,Transport & Travel,Water Transport
11709,90,Worldwide,M2M,Machine to Machine,Technology,Robotics & Automation
11710,50,South,m2m,mothers2mothers,Associations & Organizations,Medical Organizations
11711,30,Worldwide,M2M,Many-to-Many,Computing,General Computing
11712,10,Worldwide,M2M,Minutes to Midnight,News & Entertainment,Music
11713,50,Worldwide,M2TS,MPEG-2 Transport Stream,Computing,File Extensions
11714,20,Worldwide,M3U,MP3 URL,Computing,File Extensions
11715,80,Worldwide,MA,Master of Arts,Academic & Science,Academic Degrees
11716,70,Worldwide,mA,Milliampere,Academic & Science,Units
11717,40,United,MA,Mastercard Incorporated,Business,NYSE Symbols
11718,40,Morocco,ma,Morocco,Computing,Domain Names (TLD)
11719,30,Germany,MA,Mannheim,Transport & Travel,License Plates
11720,90,Worldwide,MAC,Media Access Control,Computing,Networking
11721,80,Worldwide,Mac,Macintosh,Computing,Hardware
11722,40,Worldwide,mac,Mackintosh,Society & Culture,Fashion & Lifestyle
11723,80,Worldwide,MACD,Moving Average Convergence/Divergence,Business,Stock Market
11724,20,United,MACD,Michigan Association of Conservation Districts,Associations & Organizations,Regional Organizations
11725,20,United,MACD,Montana Association of Conservation Districts,Associations & Organizations,Regional Organizations
11726,20,Worldwide,MACD,"Move, Add, Change, Delete",Business,Business Terms
11727,10,United,MACD,Minnesota Academy of Cosmetic Dentistry,Academic & Science,Universities & Institutions
11728,20,India,MACFAST,Mar Athanasios College For Advanced Studies Tiruvalla,Academic & Science,Universities & Institutions
11729,40,Worldwide,macOS,Macintosh Operating System,Computing,General Computing
11730,30,India,MACTA,Malayalam Cine Technicians Association,Associations & Organizations,Regional Organizations
11731,20,United,MACTA,Mid-America Combined Training Association,Associations & Organizations,Sports & Recreation Organizations
11732,20,United,MACTA,Minnesota Association of Community Telecommunications Administrators,Associations & Organizations,Professional Associations
11733,30,United,MACUL,Michigan Association for Computer Users in Learning,Associations & Organizations,Educational Organizations
11734,40,Worldwide,MADD,Multiply-Add,Computing,General Computing
11735,30,United,MADD,Mothers Against Drunk Driving,Associations & Organizations,Regional Organizations
11736,20,Worldwide,MADD,Multiple Acyl-CoA Dehydrogenase Deficiency,Medical,Diseases & Conditions
11737,0,India,MAFCO,Maharashtra Agro and Fruit Processing Corporation,Governmental,Firms & Organizations
11738,100,Worldwide,Maggi,"named after its founder, Julius Maggi",Business,Products
11739,70,Worldwide,mAh,milliAmpere hour,Academic & Science,Units
11740,50,Marshall,mah,Marshallese Language,Regional,Language Codes
11741,30,United,MAH,My American Heart,News & Entertainment,Music
11742,30,Spain,MAH,Menorca Airport,Transport & Travel,Airport Codes
11743,30,Malaysia,MAH,Malaysian Association of Hotels,Associations & Organizations,Trade Associations
11744,30,Canada,MAH,Municipal Affairs and Housing,Governmental,Departments & Agencies
11745,30,Worldwide,MAH,Marketing Authorisation Holder,Medical,Medicines & Drugs
11746,30,Australia,MAH,Macmahon Holdings Limited,Stock Exchanges,ASX
11747,20,India,MAH,Maharashtra,Regional,States & Districts
11748,20,Hungary,MAH,Malév Hungarian Airlines,Transport & Travel,Airline Codes
11749,60,United,MAJCOM,Major Command,Governmental,Military
11750,90,Worldwide,Malware,Malicious Software,Computing,Security
11751,50,India,MAMC,Maulana Azad Medical College,Academic & Science,Universities & Institutions
11752,40,United,MAMC,Madigan Army Medical Center,Governmental,Military
11753,10,United,MAMC,Mary McLeod Bethune Council House National Historic Site,Regional,Buildings & Landmarks
11754,90,Worldwide,MAN,Metropolitan Area Network,Computing,Networking
11755,80,United,MAN,Manchester Airport,Transport & Travel,Airport Codes
11756,50,Worldwide,MAN,Maschinenfabrik Augsburg-Nürnberg,Business,Companies & Corporations
11757,40,United,MAN,ManpowerGroup,Business,NYSE Symbols
11758,30,Venezuela,MAN,Movimiento de Acción Nacional,Governmental,Politics
11759,20,Portugal,MAN,Movimento de Acção Nacional,Governmental,Politics
11760,40,Worldwide,Mandriva,Mandrake Linux + Connectiva Linux,Computing,Software & Applications
11761,40,Worldwide,MANIAC,Mathematical Analyzer Numerical Integrator and Computer,Computing,General Computing
11762,40,United,MANU,Manchester United,Associations & Organizations,Sports & Recreation Organizations
11763,60,Worldwide,MAPS,Mail Abuse Protection System,Computing,Internet
11764,20,India,MAPS,Madras Atomic Power Station,Governmental,Firms & Organizations
11765,10,Worldwide,MAPS,Multidisciplinary Association for Psychedelic Studies,Associations & Organizations,Medical Organizations
11766,100,Worldwide,Mar,March,Academic & Science,Language & Linguistics
11767,90,India,mar,Marathi,Regional,Language Codes
11768,80,Worldwide,MAR,Memory Address Register,Computing,General Computing
11769,60,Worldwide,MAR,Mid-Atlantic Ridge,Academic & Science,Ocean Science
11770,50,Worldwide,MAR,Mobile Access Router,Computing,Hardware
11771,50,Worldwide,MAR,Matrix Attachment Region,Medical,Anatomy & Physiology
11772,50,Worldwide,MAR,Mid-Air Retrieval,Transport & Travel,Air Transport
11773,40,Worldwide,MAR,Mixed Agglutination Reaction,Medical,Tests
11774,40,Worldwide,MAR,Medication Administration Record,Medical,Hospitals
11775,40,Worldwide,MAR,Minorities at Risk,Academic & Science,Universities & Institutions
11776,30,United,MAR,Master Address Repository,Governmental,Standards
11777,30,Worldwide,MAR,Mobile Autonomous Robot,Technology,Robotics & Automation
11778,30,Venezuela,MAR,La Chinita International Airport,Transport & Travel,Airport Codes
11779,30,Worldwide,MAR,Mercury Arc Rectifier,Academic & Science,Electrical
11780,20,United,MAR,Museum of the American Railroad,Regional,Buildings & Landmarks
11781,60,Worldwide,MArch,Master of Architecture,Academic & Science,Academic Degrees
11782,50,Worldwide,MASM,Microsoft Macro Assembler,Computing,Programming & Development
